title	pub_year	authors	journal	abstract	url	num_citations
Pre-steady-state decoding of the Bicoid morphogen gradient	2007.0	['Sven Bergmann', 'Oded Sandler', 'Hila Sberro', 'Sara Shnider', 'Eyal Schejter', 'Ben-zion Shilo', 'Naama Barkai']	Plos biology	Morphogen gradients are established by the localized production and subsequent diffusion of signaling molecules. It is generally assumed that cell fates are induced only after morphogen profiles have reached their steady state. Yet, patterning processes during early development occur rapidly, and tissue patterning may precede the convergence of the gradient to its steady state. Here we consider the implications of pre-steady-state decoding of the Bicoid morphogen gradient for patterning of the anterior–posterior axis of the Drosophila embryo. Quantitative analysis of the shift in the expression domains of several Bicoid targets (gap genes) upon alteration of bcd dosage, as well as a temporal analysis of a reporter for Bicoid activity, suggest that a transient decoding mechanism is employed in this setting. We show that decoding the pre-steady-state morphogen profile can reduce patterning errors caused by fluctuations in the rate of morphogen production. This can explain the surprisingly small shifts in gap and pair-rule gene expression domains observed in response to alterations in bcd dosage.	https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0050046	214
Noise propagation and signaling sensitivity in biological networks: a role for positive feedback	2008.0	['Gil Hornung', 'Naama Barkai']	Plos computational biology	Interactions between genes and proteins are crucial for efficient processing of internal or external signals, but this connectivity also amplifies stochastic fluctuations by propagating noise between components. Linear (unbranched) cascades were shown to exhibit an interplay between the sensitivity to changes in input signals and the ability to buffer noise. We searched for biological circuits that can maintain signaling sensitivity while minimizing noise propagation, focusing on cases where the noise is characterized by rapid fluctuations. Negative feedback can buffer this type of noise, but this buffering comes at the expense of an even greater reduction in signaling sensitivity. By systematically analyzing three-component circuits, we identify positive feedback as a central motif allowing for the buffering of propagated noise while maintaining sensitivity to long-term changes in input signals. We show analytically that noise reduction in the presence of positive feedback results from improved averaging of rapid fluctuations over time, and discuss in detail a particular implementation in the control of nutrient homeostasis in yeast. As the design of biological networks optimizes for multiple constraints, positive feedback can be used to improve sensitivity without a compromise in the ability to buffer propagated noise.	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.0040008	208
Comparative Gene Expression Analysis by a Differential Clustering Approach: Application to the Candida albicans Transcription Program	2005.0	['Jan Ihmels', 'Sven Bergmann', 'Judith Berman', 'Naama Barkai']	Plos genetics	Differences in gene expression underlie many of the phenotypic variations between related organisms, yet approaches to characterize such differences on a genome-wide scale are not well developed. Here, we introduce the “differential clustering algorithm” for revealing conserved and diverged co-expression patterns. Our approach is applied at different levels of organization, ranging from pair-wise correlations within specific groups of functionally linked genes, to higher-order correlations between such groups. Using the differential clustering algorithm, we systematically compared the transcription program of the fungal pathogen Candida albicans with that of the model organism Saccharomyces cerevisiae. Many of the identified differences are related to the differential requirement for mitochondrial function in the two yeasts. Distinct regulation patterns of cell cycle genes and of amino acid metabolic genes were also revealed and, in some cases, could be linked to the differential appearance of cis-regulatory elements in the gene promoter regions. Our study provides a comprehensive framework for comparative gene expression analysis and a rich source of hypotheses for uncharacterized open reading frames and putative cis-regulatory elements in C. albicans.	https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.0010039	163
Scaling of morphogen gradients by an expansion-repression integral feedback control	2010.0	['Danny Ben-zvi', 'Naama Barkai']	Proceedings of the national academy of sciences	Despite substantial size variations, proportions of the developing body plan are maintained with a remarkable precision. Little is known about the mechanisms that ensure this adaptation (scaling) of pattern with size. Most models of patterning by morphogen gradients do not support scaling. In contrast, we show that scaling arises naturally in a general feedback topology, in which the range of the morphogen gradient increases with the abundance of some diffusible molecule, whose production, in turn, is repressed by morphogen signaling. We term this mechanism “expansion–repression” and show that it can function within a wide range of biological scenarios. The expansion-repression scaling mechanism is analogous to an integral-feedback controller, a key concept in engineering that is likely to be instrumental also in maintaining biological homeostasis.	https://www.pnas.org/content/107/15/6924.short	162
A biological solution to a fundamental distributed computing problem	2011.0	['Yehuda Afek', 'Noga Alon', 'Omer Barad', 'Eran Hornstein', 'Naama Barkai', 'Ziv Bar-joseph']	Science	Computational and biological systems are often distributed so that processors (cells) jointly solve a task, without any of them receiving all inputs or observing all outputs. Maximal independent set (MIS) selection is a fundamental distributed computing procedure that seeks to elect a set of local leaders in a network. A variant of this problem is solved during the development of the fly’s nervous system, when sensory organ precursor (SOP) cells are chosen. By studying SOP selection, we derived a fast algorithm for MIS selection that combines two attractive features. First, processors do not need to know their degree; second, it has an optimal message complexity while only using one-bit messages. Our findings suggest that simple and efficient algorithms can be developed on the basis of biologically derived insights.	https://www.science.org/doi/abs/10.1126/science.1193210	159
Noise–mean relationship in mutated promoters	2012.0	['Gil Hornung', 'Raz Bar-ziv', 'Dalia Rosin', 'Nobuhiko Tokuriki', 'Dan S Tawfik', 'Moshe Oren', 'Naama Barkai']	Genome research	Gene expression depends on the frequency of transcription events (burst frequency) and on the number of mRNA molecules made per event (burst size). Both processes are encoded in promoter sequence, yet their dependence on mutations is poorly understood. Theory suggests that burst size and frequency can be distinguished by monitoring the stochastic variation (noise) in gene expression: Increasing burst size will increase mean expression without changing noise, while increasing burst frequency will increase mean expression and decrease noise. To reveal principles by which promoter sequence regulates burst size and frequency, we randomly mutated 22 yeast promoters chosen to span a range of expression and noise levels, generating libraries of hundreds of sequence variants. In each library, mean expression (m) and noise (coefficient of variation, η) varied together, defining a scaling curve: η2 = b/m …	https://genome.cshlp.org/content/22/12/2409.short	155
The evolving doublecortin (DCX) superfamily	2006.0	['Orly Reiner', 'Frédéric M Coquelle', 'Bastian Peter', 'Talia Levy', 'Anna Kaplan', 'Tamar Sapir', 'Irit Orr', 'Naama Barkai', 'Gregor Eichele', 'Sven Bergmann']	Bmc genomics	Doublecortin (DCX) domains serve as protein-interaction platforms. Mutations in members of this protein superfamily are linked to several genetic diseases. Mutations in the human DCX gene result in abnormal neuronal migration, epilepsy, and mental retardation; mutations in RP1 are associated with a form of inherited blindness, and DCDC2 has been associated with dyslectic reading disabilities. The DCX-repeat gene family is composed of eleven paralogs in human and in mouse. Its evolution was followed across vertebrates, invertebrates, and was traced to unicellular organisms, thus enabling following evolutionary additions and losses of genes or domains. The N-terminal and C-terminal DCX domains have undergone sub-specialization and divergence. Developmental in situ hybridization data for nine genes was generated. In addition, a novel co-expression analysis for most human and mouse DCX …	https://link.springer.com/article/10.1186/1471-2164-7-188	131
Expansion-repression mechanism for scaling the Dpp activation gradient in Drosophila wing imaginal discs	2011.0	['Danny Ben-zvi', 'George Pyrowolakis', 'Naama Barkai', 'Ben-zion Shilo']	Current biology	Maintaining a proportionate body plan requires the adjustment or scaling of organ pattern with organ size. Scaling is a general property of developmental systems, yet little is known about its underlying molecular mechanisms. Using theoretical modeling, we examine how the Dpp activation gradient in the Drosophila wing imaginal disc scales with disc size. We predict that scaling is achieved through an expansion-repression mechanism [1] whose mediator is the widely diffusible protein Pentagone (Pent). Central to this mechanism is the repression of pent expression by Dpp signaling, which provides an effective size measurement, and the Pent-dependent expansion of the Dpp gradient, which adjusts the gradient with tissue size. We validate this mechanism experimentally by demonstrating that scaling requires Pent and further, that scaling is abolished when pent is ubiquitously expressed. The expansion …	https://www.sciencedirect.com/science/article/pii/S0960982211007846	121
Promoter architecture and the evolvability of gene expression	2009.0	['Itay Tirosh', 'Naama Barkai', 'Kevin J Verstrepen']		Evolutionary changes in gene expression are a main driver of phenotypic evolution. In yeast, genes that have rapidly diverged in expression are associated with particular promoter features, including the presence of a TATA box, a nucleosome-covered promoter and unstable tracts of tandem repeats. Here, we discuss how these promoter properties may confer an inherent capacity for flexibility of expression.	https://link.springer.com/article/10.1186/jbiol204	113
Principles of cellular resource allocation revealed by condition-dependent proteome profiling	2017.0	['Eyal Metzl-raz', 'Moshe Kafri', 'Gilad Yaakov', 'Ilya Soifer', 'Yonat Gurvich', 'Naama Barkai']	Elife	Growing cells coordinate protein translation with metabolic rates. Central to this coordination is ribosome production. Ribosomes drive cell growth, but translation of ribosomal proteins competes with production of non-ribosomal proteins. Theory shows that cell growth is maximized when all expressed ribosomes are constantly translating. To examine whether budding yeast function at this limit of full ribosomal usage, we profiled the proteomes of cells growing in different environments. We find that cells produce excess ribosomal proteins, amounting to a constant ≈8% of the proteome. Accordingly, ≈25% of ribosomal proteins expressed in rapidly growing cells does not contribute to translation. Further, this fraction increases as growth rate decreases and these excess ribosomal proteins are employed when translation demands unexpectedly increase. We suggest that steadily growing cells prepare for conditions that demand increased translation by producing excess ribosomes, at the expense of lower steady-state growth rate.	https://elifesciences.org/articles/28034	112
Variability and robustness in biomolecular systems	2007.0	['Naama Barkai', 'Ben-zion Shilo']		The need to perform sophisticated information processing in an environment that is variable and noisy restricts the functional design of biological networks. We discuss several of the strategies that cells and multicellular organisms have evolved to deal with this demand.	https://www.sciencedirect.com/science/article/pii/S1097276507007812	111
Expression noise and acetylation profiles distinguish HDAC functions	2012.0	['Leehee Weinberger', 'Yoav Voichek', 'Itay Tirosh', 'Gil Hornung', 'Ido Amit', 'Naama Barkai']	Molecular cell	Gene expression shows a significant variation (noise) between genetically identical cells. Noise depends on the gene expression process regulated by the chromatin environment. We screened for chromatin factors that modulate noise in S. cerevisiae and analyzed the results using a theoretical model that infers regulatory mechanisms from the noise versus mean relationship. Distinct activities of the Rpd3(L) and Set3 histone deacetylase complexes were predicted. Both HDACs repressed expression. Yet, Rpd3(L)C decreased the frequency of transcriptional bursts, while Set3C decreased the burst size, as did H2B monoubiquitination (ubH2B). We mapped the acetylation of H3 lysine 9 (H3K9ac) upon deletion of multiple subunits of Set3C and Rpd3(L)C and of ubH2B effectors. ubH2B and Set3C appear to function in the same pathway to reduce the probability that an elongating PolII produces a functional transcript …	https://www.sciencedirect.com/science/article/pii/S1097276512003917	109
Comparative analysis indicates regulatory neofunctionalization of yeast duplicates	2007.0	['Itay Tirosh', 'Naama Barkai']	Genome biology	Gene duplication provides raw material for the generation of new functions, but most duplicates are rapidly lost due to the initial redundancy in gene function. How gene function diversifies following duplication is largely unclear. Previous studies analyzed the diversification of duplicates by characterizing their coding sequence divergence. However, functional divergence can also be attributed to changes in regulatory properties, such as protein localization or expression, which require only minor changes in gene sequence. We developed a novel method to compare expression profiles from different organisms and applied it to analyze the expression divergence of yeast duplicated genes. The expression profiles of Saccharomyces cerevisiae duplicate pairs were compared with those of their pre-duplication orthologs in Candida albicans. Duplicate pairs were classified into two classes, corresponding to symmetric …	https://link.springer.com/article/10.1186/gb-2007-8-4-r50	104
Elucidating mechanisms underlying robustness of morphogen gradients	2004.0	['Avigdor Eldar', 'Ben-zion Shilo', 'Naama Barkai']		Morphogen gradients play a pivotal role in most phases of developmental patterning. To ensure proper patterning, reproducible gradients are established under diverse environmental conditions and genetic backgrounds. We refer to the capacity to buffer fluctuations in gene dosage or environmental conditions as ‘robustness’. By theoretical analysis of mechanisms that facilitate robustness, it is possible to unravel the machinery responsible for generating the spatial distribution of morphogens.	https://www.sciencedirect.com/science/article/pii/S0959437X04000887	104
On the relation between promoter divergence and gene expression evolution	2008.0	['Itay Tirosh', 'Adina Weinberger', 'Dana Bezalel', 'Mark Kaganovich', 'Naama Barkai']	Molecular systems biology	Recent studies have characterized significant differences in the cis‐regulatory sequences of related organisms, but the impact of these differences on gene expression remains largely unexplored. Here, we show that most previously identified differences in transcription factor (TF)‐binding sequences of yeasts and mammals have no detectable effect on gene expression, suggesting that compensatory mechanisms allow promoters to rapidly evolve while maintaining a stabilized expression pattern. To examine the impact of changes in cis‐regulatory elements in a more controlled setting, we compared the genes induced during mating of three yeast species. This response is governed by a single TF (STE12), and variations in its predicted binding sites can indeed account for about half of the observed expression differences. The remaining unexplained differences are correlated with the increased divergence of the …	https://www.embopress.org/doi/abs/10.1038/msb4100198	102
Expression homeostasis during DNA replication	2016.0	['Yoav Voichek', 'Raz Bar-ziv', 'Naama Barkai']	Science	Genome replication introduces a stepwise increase in the DNA template available for transcription. Genes replicated early in S phase experience this increase before late-replicating genes, raising the question of how expression levels are affected by DNA replication. We show that in budding yeast, messenger RNA (mRNA) synthesis rate is buffered against changes in gene dosage during S phase. This expression homeostasis depends on acetylation of H3 on its internal K56 site by Rtt109/Asf1. Deleting these factors, mutating H3K56 or up-regulating its deacetylation, increases gene expression in S phase in proportion to gene replication timing. Therefore, H3K56 acetylation on newly deposited histones reduces transcription efficiency from replicated DNA, complementing its role in guarding genome stability. Our study provides molecular insight into the mechanism maintaining expression homeostasis during …	https://www.science.org/doi/abs/10.1126/science.aad1162	98
Morphogen gradient formation in a complex environment: an anomalous diffusion model	2005.0	['Gil Hornung', 'Brian Berkowitz', 'Naama Barkai']	Physical review e	Current models of morphogen-induced patterning assume that morphogens undergo normal, or Fickian, diffusion, although the validity of this assumption has never been examined. Here we argue that the interaction of morphogens with the complex extracellular surrounding may lead to anomalous diffusion. We present a phenomenological model that captures this interaction, and derive the properties of the morphogen profile under conditions of anomalous (non-Fickian) diffusion. In this context we consider the continuous time random walk formalism and extend its application to account for degradation of morphogen particles. We show that within the anomalous diffusion model, morphogen profiles are fundamentally distinct from the corresponding Fickian profiles. Differences were found in several key aspects, including the role of degradation in determining the profile, the rate by which it spreads in time and its …	https://journals.aps.org/pre/abstract/10.1103/PhysRevE.72.041916	96
