title	pub_year	authors	journal	abstract	url	num_citations
Gross anatomy in the surgical curriculum in Switzerland: improved cadaver preservation, anatomical models, and course development	2001.0	['P Groscurth', 'P Eggli', 'J Kapfhammer', 'G Rager', 'J‐p Hornung', 'Jdh Fasel']	The anatomical record: an official publication of the american association of anatomists	The invention of new techniques for surgery and interventional radiology demand improved training for ongoing specialists. The Anatomical Institutes in Switzerland support these requirements by establishing hands‐on practical training courses by using new procedures for cadaver embalming and model construction. Improvements allow courses to provide students with more realistic simulations of both established and experimental surgical methods. Through these changes, the value of in‐depth gross anatomy is enhanced as a topic of fundamental importance for the postgraduate medical and surgical curriculum. The web site http://www.unifr.ch/sgahe/snga.html contains information on courses using the Thiel embalming solution. Details about training courses in Switzerland using anatomical models are available at http://www.heartlab.org, http://www.vascular‐international.org, and http://www.elastrat.com …	https://onlinelibrary.wiley.com/doi/abs/10.1002/ar.10030	122
Identification of distinct GABAA-receptor subtypes in cholinergic and parvalbumin-positive neurons of the rat and marmoset medial septum—diagonal band complex	1995.0	['B Gao', 'J-p Hornung', 'J-m Fritschy']	Neuroscience	GABAA-receptor heterogeneity is based on a multiplicity of subunits (α1–6, β1–4, γ1–4, δ, ϱ1–2) encoded by distinct genes. Flexibility in GABAergic signal transduction and allosteric modulation is expected to arise from the differential assembly of subunits into receptor subtypes. The aim of the present study was to investigate the potential diversity of receptor subtypes expressed by defined neuron populations, as identified by their neurotransmitter phenotype. To this end we have determined immunohistochemically the subunit repertoire of cholinergic and GABAergic neurons in the basal forebrain of rat and marmoset monkey, focusing on the medial septum—diagonal band complex. Co-localization of the GABAA-receptor subunits α1, α3, β2, β3 and γ2 with markers of cholinergic and GABAergic neurons (choline acetyltransferase and parvalbumin, respectively) was assessed by double- and triple …	https://www.sciencedirect.com/science/article/pii/030645229400480S	122
Cytoarchitecture of serotonin‐synthesizing neurons in the pontine tegmentum of the human brain	1991.0	['Kg Baker', 'Gm Halliday', 'P Halasz', 'J‐p Hornung', 'Lb Geffen', 'Rgh Cotton', 'I Törk']	Synapse	We have employed immunohistochemical and morphometric procedures to study serotonin‐synthesizing (PH8‐immunoreactive) neurons in the pontine reticular formation of the adult human. PH8‐immunoreactive neurons were found in three cytoarchitectural regions: the median rahpe nucleus (MnR), oral pontine reticular nucleus (PnO), and supralemniscal region (group B9). On the basis of cell size, morphology, and position, it was possible to distinguish distinct subgroups within the MnR (dorsal, midline, and paramedian cell clusters) and within the PnO (dorsal and central cell clusters), whereas within the B9 there were no distinct cell clusters. We have estimated that there are approximately 125,000 PH8‐immunoreactive neurons in the human pontine tegmentum; 64,400 in the MnR, 30,700 in PnO and 29,000 in B9. The large numbers of serotonin‐synthesizing neurons in the human pontine tegmentum …	https://onlinelibrary.wiley.com/doi/abs/10.1002/syn.890070407	114
The effect of liquid silicone on the rabbit retina: histologic and ultrastructural study	1986.0	['Michel Gonvers', 'Jean-pierre Hornung', 'Christian De Courten']	Archives of ophthalmology	• Silicone oil was injected into 23 rabbit eyes, which had undergone vitrectomy and which were then examined in the electron microscope six weeks later. Retinal lesions were observed in the outer plexiform layer. They consisted mainly of a subtotal disappearance of the processes of horizontal and bipolar cells and of the synaptic terminals of the photoreceptors. The lesions were seen only in areas of the retina that had been in permanent contact with the oil bubble. They did not depend on the purity of the silicone oil injected.	https://jamanetwork.com/journals/jamaophthalmology/article-abstract/636152	114
The selective innervation by serotoninergic axons of calbindin‐containing interneurons in the neocortex and hippocampus of the marmoset	1992.0	['Jean‐pierre Hornung', 'Mr Celio']	Journal of comparative neurology	The serotoninergic input to the mammalian cerebral cortex originates in the median and the dorsal raphe nuclei. Median raphe neurons have been previously shown to give rise to beaded varicose axons which form dense pericellular arrays (baskets) surrounding the soma and the proximal dendrites of certain cortical neurons. In the present study, we have searched for specific markers characterizing the neurons of the marmoset neocortex and hippocampus surrounded by these thick varicose serotonin‐containing fibers. The non‐pyramidal nature of these neurons, suggested by their dendritic arborization, was correlated, in immunocytochemical experiments with double‐labelling to demonstrate their surrounding serotonin‐containing basket and their content of glutamic acid decarboxylase (GAD) or of the calcium‐binding protein calbindin. Another calcium‐binding protein common in numerous non‐pyramidal …	https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.903200404	110
Improved fertilization and implantation rates after non-touch zona pellucida microdrilling of mouse oocytes with a 1.48 μm diode laser beam	1996.0	['M Germond', 'D Nocera', 'A Senn', 'K Rink', 'G Delacréaz', 'T Pedrazzini', 'Jp Hornung']	Human reproduction	The safety of microdrilling the zona pellucida of moose oocytes with a 1.48 μm diode laser has been investigated by determining the ability of mouse oocytes to fertilize in vitro and develop in vivo. Mice born after transfer of control and zona pelludda-microdrilled embryos into foster mothers were submitted to anatomical and immunohisto-chemical investigations, and their aptitude to breed was assessed in two subsequent generations. Decolonization of the oocytes with hyaluronidase induced a reduction of the fertilization and implantation rates, which was attributed to a zona hardening phenomenon. After laser zona pellucida microdrilling, these rates were restored to those obtained with embryos derived from untreated oocyte-cumulus complexes. Pups derived from zona pellucida microdrilled embryos were comparable with those obtained from control embryos, confirming the lack of deleterious effects of the …	https://academic.oup.com/humrep/article-abstract/11/5/1043/667464	104
Developmental profile of GABAA‐receptors in the marmoset monkey: Expression of distinct subtypes in pre‐and postnatal brain	1996.0	['Jean‐pierre Hornung', 'Jean‐marc Fritschy']	Journal of comparative neurology	Gamma aminobutyric acid (GABA)A‐receptors are expressed in fetal mammalian brain before the onset of synaptic inhibition, suggesting their involvement in brain development. In this study, we have analyzed the maturation of the GABAA‐receptor in the marmoset monkey forebrain to determine whether distinct receptor subtypes are expressed at particular stages of pre‐ and postnatal ontogeny. The distribution of the subunits α1, α2, and β2,3 was investigated immunohistochemically between embryonic day 100 (6 weeks before birth) and adulthood. Prenatally, the α2‐ and β2,3‐subunit‐immunoreactivity (‐IR) was prominent throughout the forebrain, whereas the α1‐subunit‐IR appeared in selected regions shortly before birth. The α2‐subunit‐IR disappeared gradually to become restricted to a few regions in adult forebrain. By contrast, the α1‐subunit‐IR increased dramatically after birth and replaced the α2 …	https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1096-9861(19960408)367:3%3C413::AID-CNE7%3E3.0.CO;2-8	102
Endocytosis and autophagy in dying neurons: an ultrastructural study in chick embryos	1989.0	['Jp Hornung', 'H Koppel', 'Pgh Clarke']	Journal of comparative neurology	In an effort to understand naturally occurring neuronal death in the developing isthmo‐optic nucleus, we have accentuated one of its most probably causes, failure to receive adequate trophic maintenance from the axonal terminal zone in the retina, and have studied the dying neurons ultrastructurally. Retrograde trophic maintenance was blocked by means of intraocularly injected colchicine, which caused all the isthmo‐optic neurons to die by just one of the two or more kinds of cell death that they undergo during normal development. The present paper deals with the very prominent cytoplasmic aspects of this kind of cell death, notably the uptake of exogenous horseradish peroxidase and autophagy. There were also nuclear changes, which are dealt with mainly in the accompanying paper (Clarke and Hornung, J. Comp. Neurol. 283: 438–449, '89).Numerous cytoplasmic vacuoles occurred in both soma and …	https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902830310	98
Selective Neurofilament (SMI-32, FNP-7 and N200) Expression in Subpopulations of Layer V Pyramidal Neurons In Vivo and In Vitro	2004.0	['Courtney Cj Voelker', 'Nathalie Garin', 'Jeremy Sh Taylor', 'Beat H Gähwiler', 'Jean-pierre Hornung', 'Zoltán Molnár']	Cerebral cortex	There are two main types of layer V pyramidal neurons in rat cortex. Type I neurons have tufted apical dendrites extending into layer I, produce bursts of action potentials and project to subcortical targets (spinal cord, superior colliculus and pontine nuclei). Type II neurons have apical dendrites, which arborize in layers II–IV, do not produce bursts of action potentials and project to ipsilateral and contralateral cortex. The specific expression of different genes and proteins in these two distinct layer V neurons is unknown. To distinguish between distinct subpopulations, fluorescent microspheres were injected into subcortical targets (labeling type I neurons) or primary somatosensory cortex (labeling type II neurons) of adult rats. After transport, cortical sections were processed for immunohistochemistry using various antibodies. This study demonstrated that antigens recognized by SMI-32, N200 and FNP-7 antibodies …	https://academic.oup.com/cercor/article-abstract/14/11/1276/331459	96
Glutathione deficit during development induces anomalies in the rat anterior cingulate GABAergic neurons: relevance to schizophrenia	2006.0	['Jan-harry Cabungcal', 'Dominique Nicolas', 'Rudolf Kraftsik', 'Michel Cuénod', 'Kim Q Do', 'Jean-pierre Hornung']	Neurobiology of disease	A series of studies in schizophrenic patients report a decrease of glutathione (GSH) in prefrontal cortex (PFC) and cerebrospinal fluid, a decrease in mRNA levels for two GSH synthesizing enzymes and a deficit in parvalbumin (PV) expression in a subclass of GABA neurons in PFC. GSH is an important redox regulator, and its deficit could be responsible for cortical anomalies, particularly in regions rich in dopamine innervation. We tested in an animal model if redox imbalance (GSH deficit and excess extracellular dopamine) during postnatal development would affect PV-expressing neurons. Three populations of interneurons immunolabeled for calcium-binding proteins were analyzed quantitatively in 16-day-old rat brain sections. Treated rats showed specific reduction in parvalbumin immunoreactivity in the anterior cingulate cortex, but not for calbindin and calretinin. These results provide experimental evidence …	https://www.sciencedirect.com/science/article/pii/S0969996106000052	94
Ligation of the inferior mesenteric artery in the surgery of rectal cancer: anatomical considerations	2004.0	['Mario Nano', 'Herbert Dal Corso', 'Marco Ferronato', 'Mario Solej', 'Jean Pierre Hornung', 'Marcello Dei Poli']	Digestive surgery		https://www.karger.com/Article/Abstract/77347	94
The thalamic projection to cat visual cortex: ultrastructure of neurons identified by Golgi impregnation or retrograde horseradish peroxidase transport	1981.0	['Jp Hornung', 'Lj Garey']	Neuroscience	Specific afferents to the primary visual cortex of the cat were identified by electron microscopy after electrolytic lesions of the lateral geniculate nucleus. Postsynaptic target neurons were marked by either Golgi impregnation or horseradish peroxidase retrogradely transported from the opposite visual cortex. The type and the location of identified neurons were determined by light microscopy before further investigation by electron microscopy. Different pyramidal neurons have relatively homogeneous ultrastructural characteristics, but non-pyramidal neurons, divisible into large and small, spiny, sparsely-spiny and non-spiny, vary in their synaptology. Thalamo-cortical afferents have been found to all neuronal types examined in layer IV and lower layer III, including horseradish peroxidase-filled callosal cells. These include pyramidal cells of layer III which receive thalamo-cortical afferents mainly on spines of apical and …	https://www.sciencedirect.com/science/article/pii/0306452281900701	87
Raphe nuclei and the serotonergic system	1990.0	['Istvan Törk', 'Jean-pierre Hornung']		"30. Raphe Nuclei and the Serotonergic System ISTVAN TORK UNIVERSITY OF NEW SOUTH WALES SYDNEY, AUSTRALIA JEAN-PIERRE HORNUNG UNIVERSITY OF LAUSANNE LAUSANNE, SWITZERLAND I. Caudal Linear Nucleus II. Dorsal Raphe Nucleus III. Median Raphe Nucleus (Superior Central Raphe Nucleus) IV. Serotonergic Neurons in the Pontomesencephalic Reticular Formation V. Raphe Magnus Nucleus VI. Raphe Obscurus Nucleus VII. Raphe Pallidus Nucleus VIII. Serotonergic Neurons in the Medullary Reticular Formation IX. Primate Serotonergic System A. Connections of the Raphe Nuclei B. Ascending Projections of the Dorsal Raphe and Median Raphe Nuclei C. Serotonergic Innervation of the Cerebral Cortex References The human raphe nuclei, particularly in the rostral brainstem, are conspicuous, large masses of nerve cells colonizing the midline of the tegmentum. The term"" raphe"" …"	https://scholar.google.com/scholar?cluster=16124900578631734274&hl=en&oi=scholarr	86
The ciliogenic transcription factor RFX3 regulates early midline distribution of guidepost neurons required for corpus callosum development	2012.0	['Carine Benadiba', 'Dario Magnani', 'Mathieu Niquille', 'Laurette Morle', 'Delphine Valloton', 'Homaira Nawabi', 'Aouatef Ait-lounis', 'Belkacem Otsmane', 'Walter Reith', 'Thomas Theil', 'Jean-pierre Hornung', 'Cecile Lebrand', 'Benedicte Durand']	Plos genetics	The corpus callosum (CC) is the major commissure that bridges the cerebral hemispheres. Agenesis of the CC is associated with human ciliopathies, but the origin of this default is unclear. Regulatory Factor X3 (RFX3) is a transcription factor involved in the control of ciliogenesis, and Rfx3–deficient mice show several hallmarks of ciliopathies including left–right asymmetry defects and hydrocephalus. Here we show that Rfx3–deficient mice suffer from CC agenesis associated with a marked disorganisation of guidepost neurons required for axon pathfinding across the midline. Using transplantation assays, we demonstrate that abnormalities of the mutant midline region are primarily responsible for the CC malformation. Conditional genetic inactivation shows that RFX3 is not required in guidepost cells for proper CC formation, but is required before E12.5 for proper patterning of the cortical septal boundary and hence accurate distribution of guidepost neurons at later stages. We observe focused but consistent ectopic expression of Fibroblast growth factor 8 (Fgf8) at the rostro commissural plate associated with a reduced ratio of GLIoma-associated oncogene family zinc finger 3 (GLI3) repressor to activator forms. We demonstrate on brain explant cultures that ectopic FGF8 reproduces the guidepost neuronal defects observed in Rfx3 mutants. This study unravels a crucial role of RFX3 during early brain development by indirectly regulating GLI3 activity, which leads to FGF8 upregulation and ultimately to disturbed distribution of guidepost neurons required for CC morphogenesis. Hence, the RFX3 mutant mouse model brings novel understandings of …	https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002606	79
Contribution to the surgical anatomy of the ligaments of the rectum	2000.0	['M Nano', 'Hm Dal Corso', 'G Lanfranco', 'M Ferronato', 'Jp Hornung']	Diseases of the colon & rectum	PURPOSE:Many authors have discussed the presence and the importance of the lateral ligaments of the rectum. Our contribution aims at clarifying some aspects of surgical anatomy that help in the preservation of the urogenital functions and may influence the surgical practice.METHODS:From 1994 to 1998 we examined 27 fresh cadavers and five embalmed pelves. We performed all dissections with a technique similar to that used for the surgical mobilization of the rectum.RESULTS:The lateral ligaments of the rectum are trapezoid structures originating from mesorectum and are anchored to the endopelvic fascia; as lateral extensions of the mesorectum, they must be included in the surgical specimen. According to our results, three main structures can be recognized laterally to the rectum: 1) the lateral ligament, which does not contain important structures; 2) the inferior hypogastric plexus and the urogenital bundle …	https://journals.lww.com/dcrjournal/Abstract/2000/43110/Contribution_to_the_surgical_anatomy_of_the.22.aspx	76
The neuronatomy of the serotonergic system	2010.0	['Jean-pierre Hornung']		Neurons using serotonin as a neurotransmitter in the central nervous system are restricted to the brainstem, centered on the midline raphe nuclei, extending into the subnuclei of the lateral reticular formation. These neurons divide into two populations. A rostral group resides in the midbrain and rostral pons (caudal linear, dorsal and median raphe nuclei), with a major projection targeted to the forebrain. A caudal group located in the caudal pons and the medulla (raphe magnus, obscurus and pallidus nuclei, lateral medullary reticular formation) has a major projection targeted to the spinal cord. Both groups have projections to the brainstem. Subnuclei of the serotonergic system have distinctive afferent and efferent connections, with some entities more specifically linked to the sensory, motor or limbic systems. Serotonergic neurons segregate, based on their axonal morphology, into neurons with large varicose or …	https://www.sciencedirect.com/science/article/pii/S1569733910700710	75
Monoaminergic afferents to cortex modulate structural plasticity in the barrelfield of the mouse	1994.0	['Mc Osterheld-haas', 'H Van Der Loos', 'J-p Hornung']	Developmental brain research	Electrolytic lesions of the follicles of a set of mystacial vibrissae, and their innervation, of the mouse placed during the early postnatal period result in a modification in appearance of the corresponding and of adjacent barrels in the somatosensory cortex of the adult animal. These changes can be evoked during the first 6 days of postnatal life — the so-called critical period. The pattern of these modifications varies with the age of the animal at which the lesion was placed. In order to evaluate the contribution of the monoaminergic cortical input to this type of plasticity, the noradrenergic and/or serotonergic afferents to the cerebral cortex of newborn mice were destroyed by systemic administration of various selective neurotoxic drugs (6-hydroxydopamine, 5,7-dihydroxytryptamine, N-(2-chloroethyl)-N-ethyl-2-bromobenzylamine). The animals were then subjected, on postnatal day 3 (P3; PO = day of birth), to a lesion of the …	https://www.sciencedirect.com/science/article/pii/0165380694901961	72
Laminar development of the mouse barrel cortex: effects of neurotoxins against monoamines	1996.0	['Mc Osterheld-haas', 'Jp Hornung']	Experimental brain research	The rodent somatosensory cortex is characterized by a unique cellular organization in the field of representation of the whiskers, called the barrelfield, which develops in layer IV during the 1st postnatal week in parallel with the establishment of the thalamo-cortical connections. This area is transiently densely innervated by serotonergic afferents during this period. Serotonin depletion delays the formation of barrels in the rat somatosensory cortex. However, no information is available to date on the time-course of the laminar differentiation of the cortex after monoaminergic depletion and the relative contribution of different monoaminergic inputs to this process. To address these issues, newborn mice were treated with selective neurotoxins (6-hydroxydopamine or 5,7-dihydroxytryptamine) at birth to destroy the catecholaminergic and monoaminergic cortical innervation, respectively. The parietal cortex of these …	https://link.springer.com/article/10.1007/BF00228550	70
Raphe nuclei and the serotonergic system	1990.0	['Istvan Tork', 'Jean-pierre Hornung']	The human nervous system		https://scholar.google.com/scholar?cluster=7857881290603175752&hl=en&oi=scholarr	68
Excess of serotonin affects neocortical pyramidal neuron migration	2011.0	['O Riccio', 'Moritz Jacobshagen', 'B Golding', 'Laszlo Vutskits', 'Denis Jabaudon', 'Jp Hornung', 'Ag Dayer']	Translational psychiatry	The serotonin transporter (SERT) is a key molecule involved in the homeostasis of extracellular levels of serotonin and is regulated developmentally. Genetic deletion of SERT in rodents increases extracellular levels of serotonin and affects cellular processes involved in neocortical circuit assembly such as barrel cortex wiring and cortical interneuron migration. Importantly, pharmacological blockade of SERT during brain development leads to phenotypes relevant to psychiatry in rodents and to an increased risk for autism spectrum disorders in humans. Furthermore, developmental adversity interacts with genetically-driven variations of serotonin function in humans and nonhuman primates to increase the risk for a variety of stress-related phenotypes. In this study, we investigate whether an excess of serotonin affects the migration of neocortical pyramidal neurons during development. Using in utero electroporation …	https://www.nature.com/articles/tp201149	62
Serotoninergic system in the brainstem of the marmoset: A combined immunocytochemical and three‐dimensional reconstruction study	1988.0	['Jean‐pierre Hornung', 'Jean‐marc Fritschy']	Journal of comparative neurology	The distribution and morphology of serotoninergic neurons in the marmoset (New‐World monkey) brainstem were studied by immunocytochemistry and computer‐assisted threevdimensional reconstruction. The cytoarchitectonic localization of serotoninergic neurons was ascertained in series of adjacent immunostained and Nissl‐stained sections, and the extent and shape of the serotoninergic nuclei were visualized by computer reconstruction. The overall distribution of the immunoreactive neurons is comparable to that already described for several species of primates. The serotoninergic nuclei are spatially well segregated into an anterior and a posterior group. The anterior group, in the mesencephalon and the rostral pons, contains the largest population of serotoninergic neurons. These neurons are not confined to the raphe nuclei near the midline, but rather expand laterally in the reticular formation. This …	https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902700402	62
