,title,year,authors,abstract
10,How proteolysis drives the cell cycle,1996,Randall W King and Raymond J Deshaies and Jan-Michael Peters and Marc W Kirschner,"Oscillations in the activity of cyclin-dependent kinases (CDKs) promote progression through the eukaryotic cell cycle. This review examines how proteolysis regulates CDK activity—by degrading CDK activators or inhibitors—and also how proteolysis may directly trigger the transition from metaphase to anaphase. Proteolysis during the cell cycle is mediated by two distinct ubiquitin-conjugation pathways. One pathway, requiring CDC34, initiates DNA replication by degrading a CDK inhibitor. The second pathway, involving a large protein complex called the anaphase-promoting complex or cyclosome, initiates chromosome segregation and exit from mitosis by degrading anaphase inhibitors and mitotic cyclins. Proteolysis therefore drives cell cycle progression not only by regulating CDK activity, but by directly influencing chromosome and spindle dynamics."
11,The interaction between N-WASP and the Arp2/3 complex links Cdc42-dependent signals to actin assembly,1999,Rajat Rohatgi and Le Ma and Hiroaki Miki and Marco Lopez and Tomas Kirchhausen and Tadaomi Takenawa and Marc W Kirschner,"Although small GTP-binding proteins of the Rho family have been implicated in signaling to the actin cytoskeleton, the exact nature of the linkage has remained obscure. We describe a novel mechanism that links one Rho family member, Cdc42, to actin polymerization. N-WASP, a ubiquitously expressed Cdc42-interacting protein, is required for Cdc42-stimulated actin polymerization in Xenopus egg extracts. The C terminus of N-WASP binds to the Arp2/3 complex and dramatically stimulates its ability to nucleate actin polymerization. Although full-length N-WASP is less effective, its activity can be greatly enhanced by Cdc42 and phosphatidylinositol (4,5) bisphosphate. Therefore, N-WASP and the Arp2/3 complex comprise a core mechanism that directly connects signal transduction pathways to the stimulation of actin polymerization."
12,Evolvability,1998,Marc Kirschner and John Gerhart,"Evolvability is an organism’s capacity to generate heritable  phenotypic variation. Metazoan evolution is marked by great  morphological and physiological diversification, although the core  genetic, cell biological, and developmental processes are largely  conserved. Metazoan diversification has entailed the evolution of  various regulatory processes controlling the time, place, and  conditions of use of the conserved core processes. These regulatory  processes, and certain of the core processes, have special properties  relevant to evolutionary change. The properties of versatile protein  elements, weak linkage, compartmentation, redundancy, and exploratory  behavior reduce the interdependence of components and confer robustness  and flexibility on processes during embryonic development and in adult  physiology. They also confer evolvability on the organism by reducing  constraints on change and allowing …"
13,Beyond self-assembly: from microtubules to morphogenesis,1986,Marc Kirschner and Tim Mitchison,"The goal of modern cell biology is to explain the structure and behavior of the whole cell in terms of the biochemical properties of its individual components. This has been strikingly successful for many cellular components to which the principles of enzymology and self-assembly have been directly applicable. However, larger, more complex systems still pose formidable problems. In this respect, a major remaining challenge is the satisfactory biochemical description of cell morphology and the related problems of cell movement, cell division, and cell differentiation. Until recently, such a description seemed beyond reach, since the morphology of cells was thought to depend on an intractably large number of specific interactions.A breakthrough in our understanding of cell morphology came in the 1970s when it was first generally appreciated that cells contained extensive arrays of linear polymers that could span great …"
14,Cyclin synthesis drives the early embryonic cell cycle,1989,Andrew W Murray and Marc W Kirschner,We have produced extracts of frog eggs that can perform multiple cell cycles in vitro. Destruction of the endogenous messenger RNA arrests the extracts in interphase. The addition of exogenous cyclin mRNA is sufficient to produce multiple cell cycles. The newly synthesized cyclin protein accumulates during each interphase and is degraded at the end of each mitosis.
15,Expression of a dominant negative mutant of the FGF receptor disrupts mesoderm formation in Xenopus embryos,1991,Enrique Amaya and Thomas J Musci and Marc W Kirschner,"Peptide growth factors may play a role in patterning of the early embryo, particularly in the induction of mesoderm. We have explored the role of fibroblast growth factor (FGF) in early Xenopus development by expressing a dominant negative mutant form of the FGF receptor. Using a functional assay in frog oocytes, we found that a truncated form of the receptor effectively abolished wild-type receptor function. Explants from embryos expressing this dominant negative mutant failed to induce mesoderm in response to FGF. In whole embryos the mutant receptor caused specific defects in gastrulation and in posterior development, and overexpression of a wild-type receptor could rescue these developmental defects. These results demonstrate that the FGF signaling pathway plays an important role in early embryogenesis, particularly in the formation of the posterior and lateral mesoderm."
16,The role of cyclin synthesis and degradation in the control of maturation promoting factor activity,1989,Andrew W Murray and Mark J Solomon and Marc W Kirschner,We show that cyclin plays a pivotal role in the control of mitosis. A proteolysis-resistant mutant of cyclin prevents the inactivation of maturation promoting factor and the exit from mitosis both in vivo and in vitro. We have used a fractionated extract to study the activation of MPF by added cyclin protein.
17,"Cells, embryos and evolution: toward a cellular and developmental understanding of phenotypic variation and evolutionary adaptability",1997,John Gerhart and Marc Kirschner,"SIDALC.
"
18,A major developmental transition in early Xenopus embryos: II. Control of the onset of transcription,1982,John Newport and Marc Kirschner,"We have shown in the accompanying paper that a developmental transition occurs at the midblastula stage (cleavage 12) in Xenopus embryos, and that this midblastula transition (MBT) is apparently initiated when the ratio of nucleus to cytoplasm reaches a critical value. One manifestation of this transition is the onset of transcription. We show here that a plasmid containing a cloned gene coding for a yeast leucine tRNA comes under developmental control when injected into cleaving eggs. In pre-MBT eggs this plasmid is transiently transcribed and then becomes inactive; however, it becomes transcriptionally active again at the MBT. This pre-MBT suppression of transcription can be reversed by addition of competing DNA. The amount of DNA needed to induce premature transcription is equal to the amount of nuclear DNA present after 12 cleavages (24 ng), suggesting that the MBT is triggered by the DNA through …"
19,A 20S complex containing CDC27 and CDC16 catalyzes the mitosis-specific conjugation of ubiquitin to cyclin B,1995,Randall W King and Jan-Michael Peters and Stuart Tugendreich and Mark Rolfe and Philip Hieter and Marc W Kirschner,"Cyclin B is degraded at the onset of anaphase by a ubiquitin-dependent proteolytic system. We have fractionated mitotic Xenopus egg extracts to identify components required for this process. We find that UBC4 and at least one other ubiquitin-conjugating enzyme can support cyclin B ubiquitination. The mitotic specificity of cyclin ubiquitination is determined by a 20S complex that contains homologs of budding yeast CDC16 and CDC27. Because these proteins are required for anaphase in yeast and mammalian cells, we refer to this complex as the anaphase-promoting complex (APC). CDC27 antibodies deplete APC activity, while immunopurified CDC27 complexes are sufficient to complement either interphase extracts or a mixture of recombinant UBC4 and the ubiquitin-activating enzyme E1. These results suggest that APC functions as a regulated ubiquitin-protein ligase that targets cyclin B for destruction in …"
20,Modulation of the dynamic instability of tubulin assembly by the microtubule-associated protein tau.,1992,David N Drechsel and AA Hyman and Melanie H Cobb and MW Kirschner,"Microtubule-associated proteins (MAP), such as tau, modulate the extent and rate of microtubule assembly and play an essential role in morphogenetic processes, such as axonal growth. We have examined the mechanism by which tau affects microtubule polymerization by examining the kinetics of microtubule assembly and disassembly through direct observation of microtubules using dark-field microscopy. Tau increases the rate of polymerization, decreases the rate of transit into the shrinking phase (catastrophe), and inhibits the rate of depolymerization. Tau strongly suppresses the catastrophe rate, and its ability to do so is independent of its ability to increase the elongation rate. Thus, tau generates a partially stable but still dynamic state in microtubules. This state is perturbed by phosphorylation by MAP2 kinase, which affects all three activities by lowering the affinity of tau for the microtubule lattice."
21,Metabolite profiling identifies a key role for glycine in rapid cancer cell proliferation,2012,Mohit Jain and Roland Nilsson and Sonia Sharma and Nikhil Madhusudhan and Toshimori Kitami and Amanda L Souza and Ran Kafri and Marc W Kirschner and Clary B Clish and Vamsi K Mootha,"Metabolic reprogramming has been proposed to be a hallmark of cancer, yet a systematic characterization of the metabolic pathways active in transformed cells is currently lacking. Using mass spectrometry, we measured the consumption and release (CORE) profiles of 219 metabolites from media across the NCI-60 cancer cell lines, and integrated these data with a preexisting atlas of gene expression. This analysis identified glycine consumption and expression of the mitochondrial glycine biosynthetic pathway as strongly correlated with rates of proliferation across cancer cells. Antagonizing glycine uptake and its mitochondrial biosynthesis preferentially impaired rapidly proliferating cells. Moreover, higher expression of this pathway was associated with greater mortality in breast cancer patients. Increased reliance on glycine may represent a metabolic vulnerability for selectively targeting rapid cancer cell …"
22,"Purification of tau, a microtubule-associated protein that induces assembly of microtubules from purified tubulin",1977,Don W Cleveland and Shu-Ying Hwo and Marc W Kirschner,"Tau, a microtubule-associated protein which copurifies with tubulin through successive cycles of polymerization and depolymerization, has been isolated from tubulin by phosphocellulose chromatography and purified to near homogeneity. The purified protein is seen to migrate during electrophoresis on acrylamide gels as four closely spaced bands of apparent molecular weights between 55,000 and 62,000. Specific activity for induction of microtubule formation from purified tubulin has been assayed by quantitative electron microscopy and is seen to be enhanced three- to fourfold in the purified tau when compared with the unfractionated microtubule-associated proteins. Nearly 90% of available tubulin at 1 mg/ml is found to be polymerizable into microtubules with elevated levels of tau. Moreover, the critical concentration for polymerization of the reconstituted tau + tubulin system is seen to be a function of tau …"
23,"Geminin, an inhibitor of DNA replication, is degraded during mitosis",1998,Thomas J McGarry and Marc W Kirschner,"We describe a novel 25 kDa protein, geminin, which inhibits DNA replication and is degraded during the mitotic phase of the cell cycle. Geminin has a destruction box sequence and is ubiquitinated anaphase-promoting complex (APC) in vitro. In synchronized HeLa cells, geminin is absent during G1 phase, accumulates during S, G2, and M phases, and disappears at the time of the metaphase–anaphase transition. Geminin inhibits DNA replication by preventing the incorporation of MCM complex into prereplication complex (pre-RC). We propose that geminin inhibits DNA replication during S, G2, and M phases and that geminin destruction at the metaphase–anaphase transition permits replication in the succeeding cell cycle."
24,cdc25 is a specific tyrosine phosphatase that directly activates p34cdc2,1991,Jean Gautier and Mark J Solomon and Robert N Booher and J Fernando Bazan and Marc W Kirschner,"cdc25 controls the activity of the cyclin-p34cdc2 complex by regulating the state of tyrosine phosphorylation of p34cdc2. Drosophila cdc25 protein from two different expression systems activates inactive cyclin-p34cdc2 and induces M phase in Xenopus oocytes and egg extracts. We find that the cdc25 sequence shows weak but significant homology to a phylogenetically diverse group of protein tyrosine phosphatases. cdc25 itself is a very specific protein tyrosine phosphatase. Bacterially expressed cdc25 directly dephosphorylates bacterially expressed p34cdc2 on Tyr-15 in a minimal system devoid of eukaryotic cell components, but does not dephosphorylate other tyrosine-phosphorylated proteins at appreciable rates. In addition, mutations in the putative catalytic site abolish the in vivo activity of cdc25 and its phosphatase activity in vitro. Therefore, cdc25 is a specific protein phosphatase that dephosphorylates …"
25,Synergistic induction of mesoderm by FGF and TGF-β and the identification of an mRNA coding for FGF in the early Xenopus embryo,1987,David Kimelman and Marc Kirschner,"The primary patterning event in early vertebrate development is the formation of the mesoderm and its subsequent induction of the neural tube. Classic experiments suggest that the vegetal region signals the animal hemisphere to diverge from the pathway of forming ectoderm to form mesoderm such as muscle. Here we show that bovine basic FGF has a limited capacity to induce muscle actin expression in animal hemisphere cells. This level of expression can be raised to levels normally induced in the embryo by another mammalian growth factor, TGF-β, which by itself will not induce actin expression. We show that the Xenopus embryo contains an mRNA encoding a protein highly homologous to basic FGF. These results together with the identification of a maternal mRNA with strong homology to TGF-β, suggest that molecules closely related to FGF and TGF-β are the natural inducers of mesoderm in vertebrate …"
26,Identification of a vertebrate sister-chromatid separation inhibitor involved in transformation and tumorigenesis,1999,Hui Zou and Thomas J McGarry and Teresita Bernal and Marc W Kirschner,"A vertebrate securin (vSecurin) was identified on the basis of its biochemical analogy to the Pds1p protein of budding yeast and the Cut2p protein of fission yeast. The vSecurin protein bound to a vertebrate homolog of yeast separins Esp1p and Cut1p and was degraded by proteolysis mediated by an anaphase-promoting complex in a manner dependent on a destruction motif. Furthermore, expression of a stableXenopus securin mutant protein blocked sister-chromatid separation but did not block the embryonic cell cycle. The vSecurin proteins share extensive sequence similarity with each other but show no sequence similarity to either of their yeast counterparts. Human securin is identical to the product of the gene called pituitary tumor-transforming gene (PTTG), which is overexpressed in some tumors and exhibits transforming activity in NIH 3T3 cells. The oncogenic nature of increased expression of vSecurin …"
27,Anaphase initiation in Saccharomyces cerevisiae is controlled by the APC-dependent degradation of the anaphase inhibitor Pds1p.,1996,Orna Cohen-Fix and Jan-Michael Peters and Marc W Kirschner and Doug Koshland,"Anaphase initiation has been postulated to be controlled through the ubiquitin-dependent proteolysis of an unknown inhibitor. This process involves the anaphase promoting complex (APC), a specific ubiquitin ligase that has been shown to be involved in mitotic cyclin degradation. Previous studies demonstrated that in Saccharomyces cerevisiae, Pds1 protein is an anaphase inhibitor and suggested that it may be an APC target. Here we show that in yeast cells and in mitotic Xenopus extracts Pds1p is degraded in an APC-dependent manner. In addition, Pds1p is directly ubiquitinated by the Xenopus APC. In budding yeast Pds1p is degraded at the time of anaphase initiation and nondegradable derivatives of Pds1p inhibit the onset of anaphase. We conclude that Pds1p is an anaphase inhibitor whose APC-dependent degradation is required for the initiation of anaphase."
28,Mechanism of regulation of WAVE1-induced actin nucleation by Rac1 and Nck,2002,Sharon Eden and Rajat Rohatgi and Alexandre V Podtelejnikov and Matthias Mann and Marc W Kirschner,"Rac signalling to actin—a pathway that is thought to be mediated by the protein Scar/WAVE (WASP (Wiskott–Aldrich syndrome protein)-family verprolin homologous protein)—has a principal role in cell motility. In an analogous pathway, direct interaction of Cdc42 with the related protein N-WASP stimulates actin polymerization 1. For the Rac–WAVE pathway, no such direct interaction has been identified. Here we report a mechanism by which Rac and the adapter protein Nck activate actin nucleation through WAVE1. WAVE1 exists in a heterotetrameric complex that includes orthologues of human PIR121 (p53-inducible messenger RNA with a relative molecular mass (M r) of 140,000), Nap125 (NCK-associated protein with an M r of 125,000) and HSPC300. Whereas recombinant WAVE1 is constitutively active, the WAVE1 complex is inactive. We therefore propose that Rac1 and Nck cause dissociation of the …"
29,Mitosis in transition,1994,Randall W King and Peter K Jackson and Marc W Kirschner,"In the last 5 years, many features of the control of the cell cycle have been clarified. The mitotic cycle is now understood as a biochemical pathway that generates from within the cell the orderly progressionof events concerned with duplication and division. The key component of this pathway is a mitotic regulator composed of the protein kinase catalytic subunit CdcP and its positive regulatory subunit, cyclin B. Together, these form mitosis-promoting factor (MPF), an activity that oscillates in the cell cycle and initiates mitosis. In the early cell cycles of amphibian and marine embryos, the activation and inactivation of MPF produce a rapid oscillation between mitosis and interphase. Since CdcP is constitutively present, it is the accumulation and periodic destruction of cyclin that determine the oscillation of MPF activity (Figure 1 A). In somatic cells, thesame components regulate mitosis, though additional controls regulate …"
30,The plausibility of life,2008,Marc W Kirschner and John C Gerhart,"This book is about the origins of novelty in evolution. The brain, the eye, and the hand are all anatomical forms that exquisitely serve function. They seem to reveal design. How could they have arisen? The vast diversity of organisms, from bacteria to fungi to plants and animals, all are of different design. How did they originate? Nothing in the inanimate world resembles them. All are novel. And yet novelty implies the creation of something from nothing—it has always defied explanation. When Charles Darwin proposed his theory of evolution by variation and selection, explaining selection was his great achievement. He could not explain variation. This was Darwin’s dilemma. He knew only that variation was indispensable as the raw material for selection to act on, and random with respect to the particular selection at work. Genetics provided important clues about the dependence of variation on genetic change and in …"
31,Physical and chemical properties of purified tau factor and the role of tau in microtubule assembly,1977,Don W Cleveland and Shu-Ying Hwo and Marc W Kirschner,"This paper describes the physical and chemical properties of purified tau, a protein which is associated with brain microtubules and which induces assembly of microtubules from tubulin. Purified tau is composed of four polypeptides which migrate at positions equivalent to molecular weights between 55,000 and 62,000 during electrophoresis on sodium dodecyl sulfate/polyacrylamide gels. These polypeptides are shown to be closely related by peptide mapping and by amnio acid analysis. A comparison by various techniques of the high molecular weight microtubule-associated proteins with the tau polypeptides indicates no apparent relationship. Tau is found by analytical ultracentrifugation and by sedimentation equilibrium to have a sedimentation coefficient of 2.6 S and a native molecular weight of 57,000. Tau, therefore, must be highly asymmetric (an axial ratio of 20:1 using a prolate ellipsoid model), and yet …"
32,Sequence-specific and phosphorylation-dependent proline isomerization: a potential mitotic regulatory mechanism,1997,Michael B Yaffe and Mike Schutkowski and Minhui Shen and Xiao Zhen Zhou and P Todd Stukenberg and Jens-Ulrich Rahfeld and Jian Xu and Jian Kuang and Marc W Kirschner and Gunter Fischer and Lewis C Cantley and Kun Ping Lu,"Pin1 is an essential and conserved mitotic peptidyl-prolyl isomerase (PPIase) that is distinct from members of two other families of conventional PPIases, cyclophilins and FKBPs (FK-506 binding proteins). In response to their phosphorylation during mitosis, Pin1 binds and regulates members of a highly conserved set of proteins that overlaps with antigens recognized by the mitosis-specific monoclonal antibody MPM-2. Pin1 is here shown to be a phosphorylation-dependent PPIase that specifically recognizes the phosphoserine-proline or phosphothreonine-proline bonds present in mitotic phosphoproteins. Both Pin1 and MPM-2 selected similar phosphorylated serine-proline–containing peptides, providing the basis for the specific interaction between Pin1 and MPM-2 antigens. Pin1 preferentially isomerized proline residues preceded by phosphorylated serine or threonine with up to 1300-fold selectivity compared …"
33,Microtubule assembly nucleated by isolated centrosomes,1984,Tim Mitchison and Marc Kirschner,Microtubules are involved in the morphogenesis of most cells and are the structural basis of the mitotic spindle. We report here that purified centrosomes nucleate the assembly of microtubules with unusual dynamic properties. This may have important implications for the mechanism by which microtubule arrays are organized and stabilized in cells.
34,Homologies in both primary and secondary structure between nuclear envelope and intermediate filament proteins,1986,Frank D McKeon and Marc W Kirschner and Daniel Caput,"The A, B and C lamins are the major proteins of the nuclear envelope. The complete nucleotide sequence of the coding region of the A and C lamins shows that these proteins are identical except for their carboxy termini. The most prominent structural feature of both lamins is an α-helical region of repeating heptads of amino acids that shows striking homology with the entire family of cytoplasmic intermediate filament proteins. These features suggest that the nuclear envelope is made up of a network of coiled-coil polymers."
35,Cytoskeletal dynamics and nerve growth,1988,Tim Mitchison and Marc Kirschner,"Nerve cells establish their connections by extending neuritic processes away from the rather fixed position of the cell body. In the case of axons, this growth can be extensive and the axon itself can contain more than 99% of the cytoplasmic volume (Heidenhain, 1911). There is abundant evidence that the cytoskeleton is the major internal structure defining the morphology of neurons (Letourneau, 1982; Lockerbie, 1987). We feel that an understanding of how the axonal cytoskeleton is assembled would largely explain the overall intracellular process of neuronal growth. According to this view, the information from both intrinsic and extrinsic sources that governs the direction and morphology of neuronal processes acts either directly or indirectly to influence the spatial organization of the cytoskeleton. While the correct spatial organization of membrane elements is obviously also important, we suggest that this is largely …"
36,The KEN box: an APC recognition signal distinct from the D box targeted by Cdh1,2000,Cathie M Pfleger and Marc W Kirschner,"The ordered progression through the cell cycle depends on regulating the abundance of several proteins through ubiquitin-mediated proteolysis. Degradation is precisely timed and specific. One key component of the degradation system, the anaphase promoting complex (APC), is a ubiquitin protein ligase. It is activated both during mitosis and late in mitosis/G1, by the WD repeat proteins Cdc20 and Cdh1, respectively. These activators target distinct sets of substrates. Cdc20–APC requires a well-defined destruction box (D box), whereas Cdh1–APC confers a different and as yet unidentified specificity. We have determined the sequence specificity for Cdh1–APC using two assays, ubiquitination in a completely defined and purified system and degradation promoted by Cdh1–APC in Xenopus extracts. Cdc20 is itself a Cdh1–APC substrate. Vertebrate Cdc20 lacks a D box and therefore is recognized by Cdh1–APC …"
37,mik1 and wee1 cooperate in the inhibitory tyrosine phosphorylation of cdc2,1991,Karen Lundgren and Nancy Walworth and Robert Booher and Marlene Dembski and Marc Kirschner and David Beach,"wee1 acts antagonistically to cdc25 in the tyrosine dephosphorylation and activation of cdc2, yet blochemical evidence suggests that wee1 is not required for tyrosine phosphorylation and its role is obscure. We show here that a related 66 kd kinase, called mik1, acts redundantly with wee1 in the negative regulation of cdc2 in S. pombe. A null allele of mik1 has no discernible phenotype, but a mik1 wee1 double mutant is hypermitotically lethal: all normal M phase checkpoints are bypassed, including the requirement for initiation of cell cycle “start,” completion of S phase, and function of the cdc25+ mitotic activator. In the absence of mik1 and wee1 activity, cdc2 rapidly loses phosphate on tyrosine, both in strains undergoing mitotic lethality and in those that are viable owing to a compensating mutation within cdc2. The data suggest that mik1 and wee1 act cooperatively on cdc2, either directly as the inhibitory tyrosine …"
38,Dominoes and clocks: the union of two views of the cell cycle,1989,Andrew W Murray and Marc W Kirschner,We review the recent advances in understanding transitions within the cell cycle. These have come from both genetic and biochemical approaches. We discuss the phylogenetic conservation of the mechanisms that induce mitosis and their implications for other transitions in the cell cycle.
